sec_code,beta,beta_obs
6301,1.6719211306999053,60
6302,1.7533339327919346,60
6305,1.7370980939289538,60
6306,0.6629849534841542,60
6309,0.9396040735919532,60
6310,1.4472381512396977,60
6315,2.0566212327863487,60
6323,1.8350911251161368,60
6324,1.9743201269028716,60
6326,1.6554008598767338,60
6328,1.2292394932049482,60
6330,2.1288240421662272,60
6331,2.072514333814052,60
6332,0.9285836814856026,60
6333,1.0276033143432293,60
6339,1.2321432490933617,60
6340,1.1824644941912275,60
6345,0.3917224180365831,60
6349,0.8369891391910408,60
6351,0.4285798893168993,60
6358,0.8894419313916376,60
6361,2.15354088977585,60
6363,0.9587479082972938,60
6364,0.636708827691861,60
6367,0.9734030381870117,60
6368,1.8426407880506126,60
6369,0.8392570233677922,60
6370,1.3089566868511866,60
6371,1.1110649012840923,60
6376,1.3777896923277189,60
6379,0.8088759609939736,60
6381,1.2041676762849287,60
6383,1.654900875795737,60
6387,1.5626156637489563,60
6390,1.2613135416082786,60
6395,1.4592697358673903,60
6407,2.1326175305033965,60
6412,0.13623667034981934,60
6413,0.6482070563640645,60
6417,-0.23002303373043398,60
6418,1.1871165327518487,60
6419,0.26038833964405705,60
6420,0.81169790558852,60
6430,0.4279400509628703,60
6432,1.5381435190654744,60
6436,0.5211358313308374,60
6440,1.1057848127698595,60
6445,0.6998242860545694,60
6448,1.1418456516576612,60
6454,0.6778892521063422,60
6455,0.4248363343264774,60
6457,0.7778617257713606,60
6458,0.84301805028885,60
6459,0.5508929589281615,60
6460,0.1486762575548899,60
6463,1.1515506112709017,60
6464,1.1183835444714902,60
6465,0.4091363829389676,60
6471,1.2316933337750648,60
6472,1.5183055743183822,60
6473,1.5093532803646754,60
6474,1.172578510617823,60
6479,1.8140839108012061,60
6480,2.027635924799818,60
6481,1.2944812469442804,60
6486,1.1776618089265636,60
6490,2.2003417972566175,60
6498,1.213289928384657,60
6501,1.257558197192744,60
6503,1.528259186441218,60
6504,2.0075630877758153,60
6506,1.991187854880857,60
6507,1.5025184640556888,60
6508,1.2117212603755978,60
6516,1.3078199684980802,60
6517,0.9327023471466748,60
6523,1.1965409769777067,58
6525,2.239782873546629,34
6526,2.878884104054153,46
6532,0.016989778765698436,60
6533,1.3148480442016528,60
6535,0.36728980219237933,60
6539,0.6981420358956607,60
6544,0.5944950473242802,60
6560,1.0679521812049397,60
6564,0.2479558020144847,60
6571,0.44476044539479714,60
6572,0.7678045524749011,60
6584,1.7725758927203956,60
6586,0.9955896293030665,60
6588,1.098748752095234,60
6590,2.4920531963337598,60
6592,1.180445371824693,60
6594,1.4479314157430252,60
